EmployeeID,Name,Age,Gender,Department,Experience,Salary,City,PerformanceScore,LeftCompany
1,Emp_1,56.0,Male,HR,1.1,,Delhi,91,False
2,Emp_2,46.0,Female,Marketing,13.3,117461.0,Kolkata,98,False
3,Emp_3,32.0,Female,Finance,15.3,64802.0,Chennai,42,True
4,Emp_4,25.0,Female,IT,1.5,95439.0,Chennai,76,True
5,Emp_5,38.0,Male,Marketing,15.4,47281.0,Mumbai,88,True
6,Emp_6,56.0,Female,Sales,12.8,68732.0,Bangalore,62,True
7,Emp_7,36.0,Male,HR,2.3,53412.0,Bangalore,75,False
8,Emp_8,40.0,Male,IT,10.8,84520.0,Mumbai,61,False
9,Emp_9,28.0,Female,Marketing,2.2,25323.0,Delhi,89,False
10,Emp_10,28.0,Female,Sales,6.4,107567.0,Chennai,91,False
11,Emp_11,41.0,Male,IT,16.1,43217.0,Chennai,87,False
12,Emp_12,53.0,Female,Finance,2.0,63002.0,Mumbai,92,True
13,Emp_13,57.0,Female,Marketing,9.2,80661.0,Mumbai,93,True
14,Emp_14,41.0,Male,Marketing,12.1,,Mumbai,83,True
15,Emp_15,20.0,Female,Finance,18.8,22232.0,Kolkata,40,True
16,Emp_16,39.0,Female,Marketing,14.7,,Bangalore,75,False
17,Emp_17,19.0,Male,HR,2.8,50058.0,Chennai,89,True
18,Emp_18,41.0,Female,Marketing,19.4,90464.0,Delhi,53,True
19,Emp_19,47.0,Male,HR,9.6,80094.0,Kolkata,97,True
20,Emp_20,55.0,Male,Marketing,7.4,466280.0,Bangalore,56,False
21,Emp_21,19.0,Female,Sales,2.6,69557.0,Kolkata,54,True
22,Emp_22,38.0,Male,Sales,18.7,22944.0,Bangalore,98,False
23,Emp_23,,Female,IT,11.7,44750.0,Mumbai,66,True
24,Emp_24,29.0,Female,Sales,19.8,116176.0,Delhi,96,False
25,Emp_25,39.0,Male,Finance,3.5,98979.0,Mumbai,86,True
26,Emp_26,42.0,Male,IT,10.9,42421.0,Chennai,56,True
27,Emp_27,44.0,Male,Sales,2.2,24695.0,Chennai,41,False
28,Emp_28,59.0,Male,HR,10.5,27967.0,Chennai,64,True
29,Emp_29,45.0,Male,Marketing,17.8,61069.0,Chennai,47,False
30,Emp_30,33.0,Male,Sales,2.2,76897.0,Kolkata,49,True
31,Emp_31,32.0,Female,HR,5.4,43139.0,Delhi,67,False
32,Emp_32,20.0,Female,IT,13.6,66532.0,Delhi,97,True
33,Emp_33,54.0,Male,Marketing,1.5,59750.0,Chennai,97,True
34,Emp_34,24.0,Female,Sales,9.1,40707.0,Bangalore,75,True
35,Emp_35,38.0,Male,IT,6.7,24839.0,Mumbai,89,False
36,Emp_36,26.0,Male,Sales,16.8,53514.0,Chennai,79,True
37,Emp_37,56.0,Female,IT,1.0,36135.0,Bangalore,74,False
38,Emp_38,35.0,Female,Sales,17.3,105539.0,Delhi,97,True
39,Emp_39,21.0,Male,HR,14.1,75786.0,Mumbai,55,True
40,Emp_40,42.0,Male,Finance,5.9,29483.0,Delhi,56,False
41,Emp_41,31.0,Male,HR,4.0,112673.0,Delhi,89,False
42,Emp_42,,Female,Marketing,19.0,61618.0,Kolkata,91,True
43,Emp_43,43.0,Male,Sales,11.1,29556.0,Mumbai,40,True
44,Emp_44,19.0,Male,Finance,6.9,87888.0,Kolkata,61,True
45,Emp_45,37.0,Female,Finance,0.9,36164.0,Chennai,43,True
46,Emp_46,45.0,Female,Marketing,3.3,60627.0,Mumbai,99,False
47,Emp_47,24.0,Female,Marketing,12.0,84475.0,Bangalore,66,True
48,Emp_48,25.0,Male,Finance,10.3,60160.0,Delhi,77,True
49,Emp_49,52.0,Male,Marketing,15.2,92489.0,Delhi,60,True
50,Emp_50,31.0,Female,Marketing,16.7,94502.0,Kolkata,50,True
51,Emp_51,34.0,Male,Sales,7.9,24905.0,Kolkata,70,False
52,Emp_52,53.0,Male,HR,2.0,83672.0,Kolkata,43,True
53,Emp_53,57.0,Female,IT,15.8,82223.0,Mumbai,62,True
54,Emp_54,21.0,Female,Finance,11.1,117252.0,Delhi,83,False
55,Emp_55,,Male,IT,19.6,70802.0,Bangalore,78,True
56,Emp_56,23.0,Female,Finance,15.9,56248.0,Mumbai,75,False
57,Emp_57,59.0,Female,Finance,6.6,110411.0,Delhi,91,True
58,Emp_58,21.0,Male,HR,8.6,49951.0,Chennai,91,True
59,Emp_59,46.0,Male,,4.7,110089.0,Chennai,63,False
60,Emp_60,35.0,Male,Finance,10.2,117068.0,Kolkata,50,True
61,Emp_61,43.0,Male,HR,14.2,42770.0,Kolkata,76,True
62,Emp_62,51.0,Male,Marketing,12.2,24765.0,Kolkata,51,True
63,Emp_63,27.0,Male,IT,6.8,73135.0,Delhi,92,False
64,Emp_64,53.0,Female,Finance,16.5,99235.0,Kolkata,80,False
65,Emp_65,31.0,Female,HR,2.1,,Bangalore,49,True
66,Emp_66,48.0,Female,Finance,2.9,100162.0,Bangalore,93,True
67,Emp_67,32.0,Male,HR,8.1,68637.0,Chennai,75,False
68,Emp_68,25.0,Male,IT,14.0,119972.0,Mumbai,69,True
69,Emp_69,31.0,Male,Sales,13.9,89228.0,Delhi,54,True
70,Emp_70,40.0,Male,Marketing,7.3,86893.0,Mumbai,46,True
71,Emp_71,57.0,Male,Sales,13.9,,Kolkata,71,False
72,Emp_72,38.0,Female,HR,1.2,58312.0,Delhi,79,True
73,Emp_73,33.0,Male,,5.8,63816.0,Kolkata,86,True
74,Emp_74,35.0,Female,Marketing,13.9,46471.0,Mumbai,46,True
75,Emp_75,41.0,Male,IT,3.7,,Chennai,45,False
76,Emp_76,43.0,Female,Marketing,4.3,106153.0,Bangalore,83,False
77,Emp_77,42.0,Female,Finance,1.7,79509.0,Bangalore,69,False
78,Emp_78,58.0,Female,Sales,7.3,45212.0,Bangalore,83,False
79,Emp_79,46.0,Female,HR,16.5,86739.0,Delhi,54,True
80,Emp_80,32.0,Female,Sales,16.7,,Kolkata,73,False
81,Emp_81,18.0,Female,Marketing,17.2,21227.0,Bangalore,87,False
82,Emp_82,42.0,Female,Finance,0.7,112716.0,Kolkata,76,False
83,Emp_83,24.0,Male,HR,19.9,,Bangalore,45,True
84,Emp_84,26.0,Male,Finance,10.1,26745.0,Mumbai,66,True
85,Emp_85,41.0,Female,Finance,17.5,28127.0,Chennai,99,False
86,Emp_86,18.0,Male,Marketing,18.1,57480.0,Kolkata,89,True
87,Emp_87,25.0,Male,Sales,10.3,34287.0,Delhi,80,False
88,Emp_88,41.0,Female,Finance,1.0,111792.0,Bangalore,81,False
89,Emp_89,28.0,Male,Finance,11.9,76431.0,Mumbai,43,True
90,Emp_90,34.0,Female,Finance,6.7,85750.0,Bangalore,54,False
91,Emp_91,25.0,Male,HR,4.1,116681.0,Chennai,55,False
92,Emp_92,52.0,Female,Finance,3.7,71093.0,Bangalore,54,True
93,Emp_93,52.0,Male,Finance,11.2,74804.0,Chennai,60,False
94,Emp_94,50.0,Female,Marketing,2.1,24833.0,Kolkata,92,False
95,Emp_95,22.0,Male,Finance,16.4,,Chennai,62,True
96,Emp_96,59.0,Male,Finance,4.5,31320.0,Mumbai,64,True
97,Emp_97,56.0,Male,Marketing,11.0,65828.0,Mumbai,99,True
98,Emp_98,58.0,Female,HR,2.5,99411.0,Kolkata,48,True
99,Emp_99,45.0,Female,Sales,17.2,119742.0,Delhi,93,True
100,Emp_100,24.0,Male,Marketing,13.8,78798.0,Mumbai,71,True
101,Emp_101,26.0,Male,HR,4.1,23202.0,Kolkata,96,False
102,Emp_102,25.0,Female,Sales,14.3,35924.0,Kolkata,91,False
103,Emp_103,29.0,Male,,1.7,100466.0,Mumbai,84,True
104,Emp_104,51.0,Male,Marketing,15.4,87511.0,Kolkata,44,False
105,Emp_105,50.0,Female,Finance,9.8,39473.0,Kolkata,76,False
106,Emp_106,40.0,Female,Marketing,2.4,40622.0,Bangalore,68,True
107,Emp_107,41.0,Male,Sales,11.0,78673.0,Kolkata,60,True
108,Emp_108,54.0,Female,HR,4.0,65472.0,Mumbai,40,True
109,Emp_109,52.0,Male,Marketing,13.5,70715.0,Mumbai,46,False
110,Emp_110,57.0,Male,HR,14.2,113296.0,Mumbai,45,False
111,Emp_111,39.0,Female,Finance,15.2,80231.0,Bangalore,58,True
112,Emp_112,44.0,Male,Finance,17.9,25607.0,Mumbai,99,False
